FID,Symbol,ID_2013,Account_Na,Shipping_S,geom
Tourism_2013.49,brown circle/white #,48,Howard County General Hospital - Johns Hopkins Medicine,5755 Cedar Lane,POINT (1344671.5391087022 563652.6273314138)
Tourism_2013.50,brown circle/white #,49,Millennium Marketing Solutions,10900 Pump House Road,POINT (1371212.070523173 533035.5784603104)
Tourism_2013.51,brown circle/white #,50,Susquehanna Bank,8620 Snowden River Pkwy,POINT (1366259.0242573933 557734.0823873777)
Tourism_2013.52,gold/black border circle,51,AIDA Bistro & Wine Bar,6741 Columbia Gateway Drive,POINT (1368154.9019287312 552822.301751678)
Tourism_2013.53,gold/black border circle,52,Kelsey's Restaurant & Catering,8480 Baltimore National Pike,POINT (1366475.888313346 590080.4830892831)
Tourism_2013.54,gold/black border circle,53,The Elkridge Furnace Inn,5745 Furnace Avenue,POINT (1396509.072418423 563378.6937870525)
Tourism_2013.55,gold/black border circle,54,Victoria Gastro Pub,8201 Snowden River Parkway,POINT (1368976.702561815 562126.9696746239)
Tourism_2013.56,green triangle,55,Cattail Creek Country Club,3600 Cattail Creek Drive,POINT (1299951.3026636408 584826.8708512181)
Tourism_2013.57,green triangle,56,Fairway Hills Golf Club,5100 Columbia Road,POINT (1356484.9232092814 571675.7194095328)
Tourism_2013.58,green triangle,57,Hobbit's Glen Golf Club,1130 Willowbottom Drive,POINT (1340051.544523994 567416.5795899929)
Tourism_2013.59,green triangle,58,Timbers at Troy,6100 Marshalee Dr,POINT (1377212.854063326 559557.0867119784)
Tourism_2013.60,green triangle,59,Turf Valley Golf,2700 Turf Valley Road,POINT (1344805.5792404516 593490.604519729)
Tourism_2013.61,dark blue square,60,DoubleTree by Hilton Columbia,5485 Twin Knolls Road,POINT (1357152.1972275972 566668.5302957756)
Tourism_2013.62,dark blue square,61,Hampton Inn & Suites Columbia-South,7045 Minstrel Way,POINT (1355906.033731988 549624.0690884517)
Tourism_2013.63,dark blue square,62,Hilton Baltimore BWI Airport,1739 W. Nursery Road,POINT (1402833.2497262247 557038.4199568791)
Tourism_2013.64,dark blue square,63,Hilton Garden Inn,8241 Snowden River Parkway,POINT (1368780.910316967 561599.5890689199)
Tourism_2013.65,dark blue square,64,Holiday Inn Columbia,7900 Washington Boulevard,POINT (1372756.7513427658 548330.2013538138)
Tourism_2013.66,dark blue square,65,Holiday Inn Express & Suites,6064 Marshalee Drive,POINT (1375048.01813636 561430.7219160391)
Tourism_2013.67,dark blue square,66,"Homewood Suites by Hilton, Columbia",8320 Benson Drive,POINT (1368773.593715889 553880.2822675605)
Tourism_2013.68,dark blue square,67,Sheraton Columbia Town Center Hotel,10207 Wincopin Circle,POINT (1353456.143027022 564873.9143833576)
Tourism_2013.69,dark blue square,68,"Springhill Suites by Marriott, Columbia",7055 Minstrel Way,POINT (1355641.7581010498 549773.0350864003)
Tourism_2013.70,dark blue square,69,The Obladi,8060 Main Street,POINT (1370132.4328680998 583143.7599392292)
Tourism_2013.71,dark blue square,70,Turf Valley,2700 Turf Valley Road,POINT (1344805.5792404516 593490.604519729)
Tourism_2013.72,green circle/white #,71,Circle D Farm,15535 Carrs Mill Road,POINT (1298297.7508200072 598797.4816136422)
Tourism_2013.73,green circle/white #,72,Columbia Ice Rink,5876 Thunder Hill Road,POINT (1356561.0158604928 562224.7194650264)
Tourism_2013.74,green circle/white #,73,Columbia Swim Center-,10400 Cross Fox Lane,POINT (1348131.1207624355 565426.171432727)
Tourism_2013.75,green circle/white #,74,The Columbia Sports Park,5453 Harpers Farm Road,POINT (1343449.3740646287 567332.8776736603)
Tourism_2013.76,green circle/white #,75,Columbia Horse Center,10400 Gorman Road,POINT (1349182.6626693693 541466.6442145401)
